        Time,    Channel 1,    Channel 2,    Channel 3,    Channel 4
4.34000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
4.36000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
4.38000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
4.40000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
4.42000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
4.44000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
4.46000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
4.48000e-004,  1.2000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
4.50000e-004,  1.2000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
4.52000e-004,  1.2000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
4.54000e-004,  1.2000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
4.56000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
4.58000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
4.60000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
4.62000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
4.64000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
4.66000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
4.68000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
4.70000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
4.72000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
4.74000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
4.76000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
4.78000e-004,  0.0000e+000,  1.2000e+000,  0.0000e+000,  5.9260e-001
4.80000e-004,  0.0000e+000,  1.2000e+000,  0.0000e+000,  5.9260e-001
4.82000e-004,  0.0000e+000,  1.2000e+000,  0.0000e+000,  5.9260e-001
4.84000e-004,  0.0000e+000,  1.2000e+000,  0.0000e+000,  5.9260e-001
4.86000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
4.88000e-004,  1.2000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
4.90000e-004,  1.2000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
4.92000e-004,  1.2000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
4.94000e-004,  1.2000e+000,  0.0000e+000,  1.4815e-002,  5.7779e-001
4.96000e-004,  0.0000e+000,  0.0000e+000,  1.4815e-002,  5.7779e-001
4.98000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.00000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.02000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.04000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.06000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.08000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.10000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.12000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.14000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.16000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.18000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.20000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.22000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.24000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.26000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.28000e-004,  1.2000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.30000e-004,  1.2000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.32000e-004,  1.2000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.34000e-004,  1.2000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.36000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.38000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.40000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.42000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.44000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.46000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.48000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.50000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.52000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.54000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.56000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.58000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.60000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.62000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.64000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.66000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.68000e-004,  1.2000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.70000e-004,  1.2000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.72000e-004,  1.2000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.74000e-004,  1.2000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.76000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.78000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.80000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.82000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.84000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.86000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.88000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.90000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.92000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.94000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.96000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.98000e-004,  0.0000e+000,  1.2000e+000,  0.0000e+000,  5.9260e-001
6.00000e-004,  0.0000e+000,  1.2000e+000,  0.0000e+000,  5.9260e-001
6.02000e-004,  0.0000e+000,  1.2000e+000,  0.0000e+000,  5.9260e-001
6.04000e-004,  0.0000e+000,  1.2000e+000,  0.0000e+000,  5.9260e-001
6.06000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
6.08000e-004,  1.2000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
6.10000e-004,  1.2000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
6.12000e-004,  1.2000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
6.14000e-004,  1.2000e+000,  0.0000e+000,  1.4815e-002,  5.7779e-001
6.16000e-004,  0.0000e+000,  0.0000e+000,  1.4815e-002,  5.7779e-001
6.18000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
6.20000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
6.22000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
6.24000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
